Year,Region1 Population,Region2 Population
1,10921.87,12959.95
2,10953.89,13109.82
3,11025.1,12903.64
4,10950.52,12296.94
5,10997.78,12008.79
6,11299.29,11708.23
7,10977.57,11240.18      
8,11066.82,10525.06
9,10247.46,9942.07
10,10055.61,9191.67
11,9627.88,8322.82
12,9626.49,8346.6
13,9083.32,8010.19
14,8425.92,8327.57
15,8739.17,8428.35
16,8873.99,8248.73
17,9059.07,8751.43
18,9423.71,9171.83
19,9397.9,9583.06
20,9164.74,10218.52
21,9369.48,10401.94
22,9817,10364.65
23,9453.27,10521.4
24,9288.22,11035.54
25,9662.47,10788.71
26,9477.67,10752.58
27,9973.18,10761.2
28,9723.45,10905.88
29,9377.78,10722.95
30,9726.14,10750.98
31,9516.83,10328.16
32,10123.52,10068.8
33,9899.66,9770.81
34,9821.38,9792.76
35,10246.76,9711.74
36,10449.65,9719.92
37,10722.87,9325.68
38,11090.99,9616.4
39,10920.88,9973.92
40,10742.26,9789.01
41,11312.35,9980.83
42,10863.93,10211.97
43,10607.39,9884
44,11065.26,10296.78
45,11154.79,10099.27
46,11093.96,10278.58
47,11227.23,10701.37
48,10790.44,10465.83
49,10160.9,10697.25
50,9503.19,10953.81
51,8939.07,10749.34
52,9075.27,10988.77
53,9322.68,10313.17
54,9310.55,9946.41
55,9548.92,9715.23
56,9427.93,9281.65
57,8942.4,8931.6
58,8926.7,8892.2
59,8687.34,8977.79
60,8391.17,9024.4
61,8741.33,9114.96
62,9378.44,9395.76
63,10010.41,9881.74
64,10405.3,10007.16
65,10233.3,10107.08
66,10775.5,9949.63
67,10460.89,9884.25
68,10899.02,9938.29
69,11147.27,10319.84
70,11491.57,10125.67
71,11435.53,10531.79
72,11884.64,10198.17
73,12248.59,10011.92
74,11854.63,9743.94
75,11127.77,10223.73
76,10468.46,10305.35
77,10590.94,10789.87
78,10407.1,11214.45
79,9790.21,11263.02
80,9727.73,11169.37
81,9458.95,10984.67
82,8731.86,10248.96
83,8472.52,10193.8
84,8779.47,9931.03
85,8738.97,9304.34
86,9054.67,8786.44
87,9508.17,8271.74
88,9368.26,7851.66
89,9706.47,7560.19
90,9651.26,7855.77
91,9449.08,7690.94
92,9410.96,7440.73
93,9226.21,7289.95
94,9059.44,7973.54
95,9100.19,8258.41
96,8972.31,8324.94
97,9356.18,8405.25
98,9598.61,9075.95
99,9664.02,9395.39
100,9871.59,10165.49
101,10129.83,11024.81
102,10244.38,11706.6
103,10579.33,12426.13
104,10802.38,12943.94
105,10629.93,13776.67
106,11317.96,14617.89
107,11559.02,15315
108,12175.4,15513.28
109,12127.19,15367.55
110,12129.05,15272.91
111,12000.01,14150.02
112,11678.89,13321.43
113,11696.36,11370.53
114,11073.16,9726.05
115,10326.18,7965.19
116,9750.52,7463.91
117,9579.88,6527.47
118,8924.45,6194.21
119,8847.45,6200.53
120,8961.69,6397.29
121,8502.51,6747.16
122,8508.02,7403.55
123,8890.1,7948.51
124,9314.65,7941.8
125,9213.85,8192.83
126,9372.97,8853.56
127,9608.59,9011.9
128,9354.86,9817.39
129,9184.87,10015.2
130,9047.03,10793.14
131,9497.46,10750.36
132,9354.62,11435.53
133,9161.34,12279.21
134,9779.29,12378.38
135,9760.15,12654.13
136,10376.23,13587.61
137,10509.92,14295.06
138,11088.53,15131.99
139,10916.91,15650.99
140,10653.39,15200.97
141,11129.47,14606.52
142,11653.06,13508.02
143,11555.47,12664.11
144,11122.59,11192.57
145,11386.87,9839.91
146,10984.21,8676.66
147,11193.6,7293.94
148,11333.65,6489.98
149,10907.36,6501.2
150,10379.14,6480.3
151,9886.72,6797.83
152,9963.47,6675.14
153,9994.91,6918.46
154,9207.54,7301.05
155,8646.58,7244.16
156,8349.37,7573
157,8396.29,8157.57
158,8271.72,8321.95
159,7990.46,9027.44
160,8257.88,9699.49
161,8874.6,10256.17
162,9293.67,10906.63
163,9024.41,10931.19
164,9598.18,11290.61
165,9935.81,12120.87
166,10388.25,12843.47
167,10314.12,13668.77
168,10984.66,13817.68
169,10859.71,13959.77
170,10780.17,14045.27
171,10998.85,14519.03
172,11080.54,14770.3
173,11519.95,15320.75
174,11232.6,15277.21
175,11336.05,14358.59
176,11849.02,13315
177,11559.59,11316.07
178,11135.28,9112.89
179,11103.63,7955.58
180,10405.8,7120.87
181,10190.76,6496.59
182,10258.82,6404.71
183,10391.02,6305.52
184,10508.28,6911.49
185,10314.87,7281.2
186,9804,7383.79
187,9791.81,7815.63
188,9289.77,7936.16
189,9370.08,8710.74
190,8825.96,9515.75
191,8615.53,10222.5
192,8747.82,10308.41
193,8340.27,10621.04
194,8167.09,11434.64
195,8111.75,11683.16
196,8188.91,12591.03
197,8573.13,13429.18
198,8898,14264.07
199,9081.88,14294.68
200,9368.82,14463.51
201,9976,14077.53
202,9920.73,13700.32
203,10480.36,13550.79
204,10908.7,13089.34
205,10691.71,12239.8
206,11111.34,10373.25
207,10951.73,8997.7
208,11382.97,7718.7
209,11689.15,6816.3
210,11590.71,6691.46
211,11198.73,6802.71
212,11044.43,7188.01
213,11432.06,7425.51
214,11176.61,7427.35
215,10879.63,7885.71
216,10490.27,8678.03
217,10620.74,9029.41
218,10290.34,9491.98
219,9974.17,9752.42
220,10128.22,9660.91
221,9639.57,10032.42
222,9260.44,10425.09
223,9489.22,11309.69
224,9219.54,11392.18
225,8989.3,12166.24
226,9035.15,12851.47
227,8895.84,13011.31
228,9281.52,12951.45
229,9041.72,12767.91
230,8772.87,13120.88
231,8618.44,13549.38
232,9270.94,13525.19
233,9010.16,12889.9
234,8742.07,12396.02
235,9425.93,11275.23
236,9546.9,10117.94
237,9683.42,8703.63
238,9583.07,8331.79
239,9801.59,8137.55
240,10167.96,7669.96
241,10723.32,7934.91
242,11421.82,7838.96
243,12091.59,8201.22
244,12313.8,8738.93
245,12803.72,9074.97
246,13214.88,9609.12
247,13255.03,9978
248,13478.56,9737.87
249,12606.12,10413.42
250,12330.32,10497
251,11571.16,10516.88
252,10454.64,10198.44
253,9763.6,10490.34
254,9281.07,10640.98
255,8444.57,10585.5
256,8290.22,10296.92
257,7999.42,10466.16
258,7345.07,10086.58
259,7403.91,9981.57
260,7282.44,9931.23
261,7605.14,9925.56
262,7972.45,9824.97
263,8003.89,9901.81
264,7929.66,10305.05
265,7669.66,10235.74
266,7820.15,10522.51
267,8459.83,10107.99
268,8606.66,10177.38
269,9102.32,10624.86
270,8940,10600.49
271,9690.62,10880.71
272,10416.18,10938.79
273,11096.55,10581.84
274,11765.48,10069.19
275,12566.19,10082.59
276,13157.68,10271.1
277,13785.92,9858.71
278,14429.72,9500.42
279,14362.57,9778.31
280,14559.71,10133.24
281,14157.59,9877.1
282,13778.51,9813.44
283,13320.92,9451.87
284,12341.08,9829.61
285,11270.48,9630.47
286,10133.93,9870.01
287,9206.62,9371.76
288,8305.88,9014.33
289,8309.32,8865.11
290,7945.57,8674.05
291,8084.55,8922.43
292,7548.1,9373.83
293,7898.35,9982.13
294,7749.83,10163.34
295,7882.67,10605.04
296,7728.02,11099.03
297,8046.28,11529.68
298,8450.98,11401.9
299,9125.95,11145.41
300,9692.21,11537.14
301,9743.26,11833.31
302,9604.74,11144.45
303,9994.43,10902.81
304,9832.37,10140.95
305,10392.52,9703.62
306,10824.03,9548.54
307,11423.58,9312.36
308,11449.19,8856.65
309,11897.14,8678.35
310,11732.28,8191.32
311,11939.52,8474.73
312,11798.12,8387.71
313,12349.94,8615.71
314,12916.52,8842.22
315,13335.86,9310.49
316,13393.96,9439.06
317,12658.51,9633.64
318,11946.86,10378.84
319,11224.04,10734.55
320,10404.11,11224.24
321,9655.62,11056.62
322,9304.63,10954.62
323,8394.15,10814.39
